Equipment,Point_Name,Alarm_Extension,Alarm_Class,Alarm_Type,Delay,High_Limit,Low_Limit,Dead_Band,offNormal_Text,Normal_Text
AHU1,AHU1_EVAP1_STG1_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_EVAP1_STG2_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_EVAP2_STG1_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_EVAP2_STG2_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_PWR_UPS_STATUS,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_BMS_MODE_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_BMS_SAT_STPT_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_BMS_SF_SPD_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_BYPD_LOWER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_BYPD_UPPER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_ECFAN_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_EVAP_HIGH_WATER_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_EVAP_LOW_WATER_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_FILDP_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SAD_LOWER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SAD_UPPER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,20,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SAT_HIGH_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SAT_LOW_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SUMP1_HI_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SUMP1_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SUMP1_PMP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SUMP2_HI_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SUMP2_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1_SUMP2_PMP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_EVAP1_STG1_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_EVAP1_STG2_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_EVAP2_STG1_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_EVAP2_STG2_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
