Equipment,Point_Name,Alarm_Extension,Alarm_Class,Alarm_Type,Delay,High_Limit,Low_Limit,Dead_Band,offNormal_Text,Normal_Text
AHU1,AHU1EVAP1STG1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1EVAP1STG2FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1EVAP2STG1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1EVAP2STG2FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1PWRUPSSTATUS,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1BMSMODEALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1BMSSATSTPTALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1BMSSFSPDALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1BYPDLOWERALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU1,AHU1BYPDUPPERALM,OutOfRangeAlarmExt,High,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU1,AHU1ECFANFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1EVAPHIGHWATERALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1EVAPLOWWATERALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1FILDPALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SADLOWERALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SADUPPERALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SATHIGHALM,OutOfRangeAlarmExt,Medium,OutOfRange,45,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SATLOWALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SUMP1HILVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SUMP1LOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SUMP1PMPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SUMP2HILVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SUMP2LOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU1,AHU1SUMP2PMPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2EVAP1STG1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2EVAP1STG2FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2EVAP2STG1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2EVAP2STG2FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2PWRUPSSTATUS,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2BMSMODEALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
