Equipment,Point_Name,Trend_Type,Trend_Interval
AHU1,AHU1EVAP1STG1FLOWALM,Sampled,1
AHU1,AHU1EVAP1STG2FLOWALM,Sampled,1
AHU1,AHU1EVAP2STG1FLOWALM,Sampled,1
AHU1,AHU1EVAP2STG2FLOWALM,Sampled,1
AHU1,AHU1PWRUPSSTATUS,Sampled,1
AHU1,AHU1BMSMODEALM,Sampled,1
AHU1,AHU1BMSSATSTPTALM,Sampled,1
AHU1,AHU1BMSSFSPDALM,Sampled,1
AHU1,AHU1BYPDLOWERALM,Sampled,1
AHU1,AHU1BYPDUPPERALM,Sampled,1
AHU1,AHU1ECFANFAILALM,Sampled,1
AHU1,AHU1EVAPHIGHWATERALM,Sampled,1
AHU1,AHU1EVAPLOWWATERALM,Sampled,1
AHU1,AHU1FILDPALM,Sampled,1
AHU1,AHU1SADLOWERALM,Sampled,1
AHU1,AHU1SADUPPERALM,Sampled,1
AHU1,AHU1SATHIGHALM,Sampled,1
AHU1,AHU1SATLOWALM,Sampled,1
AHU1,AHU1SUMP1HILVLALM,Sampled,1
AHU1,AHU1SUMP1LOWLVLALM,Sampled,1
AHU1,AHU1SUMP1PMPALM,Sampled,1
AHU1,AHU1SUMP2HILVLALM,Sampled,1
AHU1,AHU1SUMP2LOWLVLALM,Sampled,1
AHU1,AHU1SUMP2PMPALM,Sampled,1
AHU2,AHU2EVAP1STG1FLOWALM,Sampled,1
AHU2,AHU2EVAP1STG2FLOWALM,Sampled,1
AHU2,AHU2EVAP2STG1FLOWALM,Sampled,1
AHU2,AHU2EVAP2STG2FLOWALM,Sampled,1
AHU2,AHU2PWRUPSSTATUS,Sampled,1
AHU2,AHU2BMSMODEALM,Sampled,1
AHU2,AHU2BMSSATSTPTALM,Sampled,1
AHU2,AHU2BMSSFSPDALM,Sampled,1
AHU2,AHU2BYPDLOWERALM,Sampled,1
AHU2,AHU2BYPDUPPERALM,Sampled,1
AHU2,AHU2ECFANFAILALM,Sampled,1
AHU2,AHU2EVAPHIGHWATERALM,Sampled,1
AHU2,AHU2EVAPLOWWATERALM,Sampled,1
AHU2,AHU2FILDPALM,Sampled,1
AHU2,AHU2SADLOWERALM,Sampled,1
AHU2,AHU2SADUPPERALM,Sampled,1
AHU2,AHU2SATHIGHALM,Sampled,1
AHU2,AHU2SATLOWALM,Sampled,1
AHU2,AHU2SUMP1HILVLALM,Sampled,1
